Name,Start Date,End Date
Definição da proposta e análise de viabilidade,2026-02-11,2026-03-11
Pesquisa e compra de materiais,2026-03-11,2026-03-25
Avaliação Seminário TASS,2026-03-18,2026-03-18
Avaliação Seminário OI,2026-03-19,2026-03-19
Levantamento de requisitos,2026-03-25,2026-04-01
Processo de montagem de protótipo,2026-04-01,2026-06-01
Avaliação Seminário OI,2026-04-30,2026-04-30
Avaliação Seminário TASS,2026-05-13,2026-05-13
Validação e testes,2026-06-01,2026-06-11
Finalização de documentação,2026-06-11,2026-06-27
Avaliação Seminário OI,2026-06-18,2026-06-18
Entrega,2026-07-01,2026-07-01